iter	HammingLoss	MultiCrossEntropy
0	0.02530330999	0.6700944947
1	0.02553971337	0.6475112732
2	0.02544235566	0.626276902
3	0.02542022501	0.606515142
4	0.0249730658	0.5870027941
5	0.0249722938	0.5677218638
6	0.0249834449	0.5497609173
7	0.02497255113	0.5327432409
8	0.02521487317	0.5164589016
9	0.02529601888	0.500882594
10	0.02529687666	0.4860054164
11	0.025297134	0.4717011111
12	0.02529747711	0.4579831667
13	0.02529730555	0.4445468301
14	0.02529807755	0.4317284555
15	0.02529782022	0.4198052448
16	0.02529850644	0.4084841321
17	0.02529816333	0.3976417998
18	0.02529816333	0.3872328357
19	0.02529730555	0.3772690492
20	0.02529782022	0.367763037
21	0.02529782022	0.358359614
22	0.02529782022	0.3496543531
23	0.02529816333	0.3410461198
24	0.02529816333	0.3330512295
25	0.02529816333	0.3251432606
26	0.02529816333	0.3175880855
27	0.02529816333	0.310603452
28	0.02529756288	0.3038758267
29	0.02529816333	0.2973935355
30	0.02529816333	0.2911698626
31	0.02529816333	0.2854157569
32	0.02529816333	0.2798766808
33	0.02529816333	0.2745328838
34	0.02529816333	0.2691870439
35	0.02529739133	0.2642323254
36	0.02529739133	0.2592442938
37	0.02529739133	0.2546791692
38	0.02529730555	0.2502390304
39	0.02529730555	0.2459809438
40	0.02529687666	0.2418391991
41	0.02522096339	0.2378350768
42	0.02499639734	0.2339317621
43	0.02499622578	0.2300405107
44	0.02498558934	0.2264350143
45	0.02478238194	0.2229665643
46	0.02455927411	0.2196171529
47	0.02455927411	0.2163497467
48	0.02461700252	0.2131978322
49	0.02461691674	0.2101478236
50	0.02537999527	0.2072031358
51	0.02454572124	0.2041708341
52	0.02454572124	0.2012209094
53	0.02454572124	0.1985532815
54	0.02454409146	0.1959448563
55	0.02454666479	0.1934089529
56	0.02454666479	0.1909090356
57	0.02454683635	0.1885327116
58	0.02454863768	0.1861100043
59	0.02454863768	0.1839126374
60	0.02455061057	0.1817569763
61	0.02454752257	0.179623166
62	0.02454572124	0.177561891
63	0.02454409146	0.1754846025
64	0.0245485519	0.1735838451
65	0.02454863768	0.1717398054
66	0.02454863768	0.1694897017
67	0.0245493239	0.1677495192
68	0.02454923812	0.1660849481
69	0.02454923812	0.1644515274
70	0.02454580701	0.1627629345
71	0.02454572124	0.1612176177
72	0.02454666479	0.1597381321
73	0.02454666479	0.1582274896
74	0.02454657901	0.1568323081
75	0.02454657901	0.1554823874
76	0.02454657901	0.1541663228
77	0.02454726523	0.1528331139
